name,type,value,date,color
Kasparov Garry,RUS,2849,2000-07-27,#D52B1E
Kramnik Vladimir,RUS,2770,2000-07-27,#D52B1E
Anand Viswanathan,IND,2762,2000-07-27,#D52B1E
Morozevich Alexander,RUS,2756,2000-07-27,#D52B1E
Adams Michael,ENG,2755,2000-07-27,#D52B1E
Shirov Alexei,ESP,2746,2000-07-27,#D52B1E
Leko Peter,HUN,2743,2000-07-27,#D52B1E
Ivanchuk Vassily,UKR,2719,2000-07-27,#D52B1E
Topalov Veselin,BUL,2707,2000-07-27,#D52B1E
Krasenkow Michal,POL,2702,2000-07-27,#D52B1E
Bareev Evgeny,RUS,2702,2000-07-27,#D52B1E
Karpov Anatoly,RUS,2699,2000-07-27,#D52B1E
Kasimdzhanov Rustam,UZB,2690,2000-07-27,#D52B1E
Svidler Peter,RUS,2689,2000-07-27,#D52B1E
Gelfand Boris,ISR,2681,2000-07-27,#D52B1E
Short Nigel D.,ENG,2677,2000-07-27,#D52B1E
Smirin Ilia,ISR,2677,2000-07-27,#D52B1E
Dreev Alexey,RUS,2676,2000-07-27,#D52B1E
Azmaiparashvili Zurab,GEO,2673,2000-07-27,#D52B1E
Ye Jiangchuan,CHN,2670,2000-07-27,#D52B1E
Rublevsky Sergei,RUS,2670,2000-07-27,#D52B1E
Xu Jun,CHN,2668,2000-07-27,#D52B1E
Almasi Zoltan,HUN,2668,2000-07-27,#D52B1E
Gurevich Mikhail,BEL,2667,2000-07-27,#D52B1E
Khalifman Alexander,RUS,2667,2000-07-27,#D52B1E
Movsesian Sergei,CZE,2666,2000-07-27,#D52B1E
Georgiev Kiril,BUL,2661,2000-07-27,#D52B1E
Akopian Vladimir,ARM,2660,2000-07-27,#D52B1E
Peng Xiaomin,CHN,2657,2000-07-27,#D52B1E
Nikolic Predrag,BIH,2657,2000-07-27,#D52B1E
Tkachiev Vladislav,FRA,2657,2000-07-27,#D52B1E
Polgar Judit GM,HUN,2656,2000-07-27,#D52B1E
Beliavsky Alexander G,SLO,2654,2000-07-27,#D52B1E
Piket Jeroen,NED,2649,2000-07-27,#D52B1E
Lautier Joel,FRA,2648,2000-07-27,#D52B1E
Seirawan Yasser,USA,2647,2000-07-27,#D52B1E
Fedorov Alexei,BLR,2646,2000-07-27,#D52B1E
Salov Valery,RUS,2644,2000-07-27,#D52B1E
Van Wely Loek,NED,2643,2000-07-27,#D52B1E
