name,type,value,date,color
A.R. Saleh Salem,UAE,2660,2018-09-27,#FFFFFFF
A.R. Saleh Salem,UAE,2660,2018-10-27,#FFFFFFF
A.R. Saleh Salem,UAE,2660,2018-11-27,#FFFFFFF
A.R. Saleh Salem,UAE,2660,2018-12-27,#FFFFFFF
A.R. Saleh Salem,UAE,2672,2019-01-27,#FFFFFFF
A.R. Saleh Salem,UAE,2672,2019-02-24,#FFFFFFF
A.R. Saleh Salem,UAE,2656,2016-11-27,#FFFFFFF
A.R. Saleh Salem,UAE,2656,2017-01-27,#FFFFFFF
A.R. Saleh Salem,UAE,2656,2017-02-27,#FFFFFFF
Abhijeet Gupta,IND,2652,2012-01-27,#FF9933
Abhijeet Gupta,IND,2654,2012-09-27,#FF9933
Abhijeet Gupta,IND,2667,2012-10-27,#FF9933
Abhijeet Gupta,IND,2667,2012-11-27,#FF9933
Abhijeet Gupta,IND,2662,2012-12-27,#FF9933
Abhijeet Gupta,IND,2654,2016-06-27,#FF9933
Aleksander Delchev,BUL,2629,2001-07-27,#00966E
Aleksander Delchev,BUL,2634,2001-10-27,#00966E
Aleksander Delchev,BUL,2624,2004-01-27,#00966E
Aleksander Delchev,BUL,2656,2005-07-27,#00966E
Aleksander Delchev,BUL,2669,2005-10-27,#00966E
Aleksander Delchev,BUL,2661,2006-01-27,#00966E
Aleksander Delchev,BUL,2640,2006-04-27,#00966E
Aleksander Delchev,BUL,2637,2006-07-27,#00966E
Aleksander Delchev,BUL,2628,2006-10-27,#00966E
Aleksander Delchev,BUL,2630,2008-01-27,#00966E
Aleksander Delchev,BUL,2639,2008-04-27,#00966E
Aleksander Delchev,BUL,2647,2009-01-27,#00966E
Aleksander Delchev,BUL,2648,2009-04-27,#00966E
Aleksander Delchev,BUL,2655,2014-08-27,#00966E
Aleksander Delchev,BUL,2660,2014-09-27,#00966E
Aleksandr Rakhmanov,RUS,2663,2017-07-27,#D52B1E
Aleksandr Rakhmanov,RUS,2663,2017-08-27,#D52B1E
Aleksandr Rakhmanov,RUS,2669,2017-09-27,#D52B1E
Aleksandr Rakhmanov,RUS,2654,2017-10-27,#D52B1E
Aleksandr Rakhmanov,RUS,2659,2017-11-27,#D52B1E
Aleksandr Rakhmanov,RUS,2653,2017-12-27,#D52B1E
Aleksandr Rakhmanov,RUS,2655,2018-01-27,#D52B1E
Aleksandr Rakhmanov,RUS,2655,2018-02-27,#D52B1E
Aleksandr Rakhmanov,RUS,2655,2018-03-27,#D52B1E
Aleksandr Rakhmanov,RUS,2655,2016-06-27,#D52B1E
Aleksandr Rakhmanov,RUS,2654,2016-09-27,#D52B1E
Aleksandr Rakhmanov,RUS,2662,2016-10-27,#D52B1E
Aleksandr Rakhmanov,RUS,2664,2016-11-27,#D52B1E
Aleksandr Rakhmanov,RUS,2667,2016-12-27,#D52B1E
Aleksandr Rakhmanov,RUS,2670,2017-01-27,#D52B1E
Aleksandr Rakhmanov,RUS,2670,2017-02-27,#D52B1E
Aleksandr Rakhmanov,RUS,2670,2017-03-27,#D52B1E
Aleksandr Rakhmanov,RUS,2665,2017-04-27,#D52B1E
Aleksandr Rakhmanov,RUS,2676,2017-05-27,#D52B1E
Aleksandr Rakhmanov,RUS,2676,2017-06-27,#D52B1E
Aleksandr Shimanov,RUS,2664,2013-06-27,#D52B1E
Aleksandr Shimanov,RUS,2664,2013-07-27,#D52B1E
Aleksandr Shimanov,RUS,2655,2013-08-27,#D52B1E
Aleksandr Shimanov,RUS,2655,2013-09-27,#D52B1E
Aleksandr Shimanov,RUS,2658,2014-02-27,#D52B1E
Aleksej Aleksandrov,BLR,2597,2000-10-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2610,2001-01-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2610,2001-04-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2646,2001-07-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2645,2001-10-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2645,2002-01-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2654,2002-04-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2646,2002-07-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2621,2002-10-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2633,2003-01-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2650,2003-04-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2659,2003-07-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2664,2003-10-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2679,2004-01-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2668,2004-04-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2666,2004-07-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2659,2004-10-27,#FFFFFFF
Aleksej Aleksandrov,BLR,2635,2005-01-27,#FFFFFFF
