name,type,value,date,color
Bitcoin,$19475.8 BTC,320576568850,2017-12-17,#f2a900
Bitcoin,$17527.3 BTC,276634797271,2018-01-07,#f2a900
Bitcoin,$15168.4 BTC,258615393665,2017-12-10,#f2a900
Bitcoin,$14608.2 BTC,233414163395,2017-12-24,#f2a900
Bitcoin,$14370.8 BTC,231413491364,2018-01-14,#f2a900
Bitcoin,$12897.7 BTC,237465823980,2017-12-31,#f2a900
Bitcoin,$12889.2 BTC,195089460991,2018-01-21,#f2a900
Bitcoin,$11497.4 BTC,194567395376,2018-03-04,#f2a900
Bitcoin,$11475.3 BTC,198389948175,2018-01-28,#f2a900
Bitcoin,$11123.4 BTC,178040648022,2018-02-18,#f2a900
Bitcoin,$11082.7 BTC,189302389920,2017-12-03,#f2a900
Bitcoin,$9845.31 BTC,164316605278,2018-05-06,#f2a900
Bitcoin,$9796.42 BTC,163204062358,2018-02-25,#f2a900
Bitcoin,$9346.41 BTC,160182287342,2018-04-29,#f2a900
Bitcoin,$9175.7 BTC,139433682759,2018-02-04,#f2a900
Bitcoin,$8925.06 BTC,149585589886,2018-04-22,#f2a900
Bitcoin,$8852.78 BTC,162009710243,2018-03-11,#f2a900
Bitcoin,$8789.04 BTC,155850742551,2017-11-26,#f2a900
Bitcoin,$8616.13 BTC,137064586975,2018-02-11,#f2a900
Bitcoin,$8612.81 BTC,143914265310,2018-03-25,#f2a900
Bitcoin,$8515.49 BTC,148587777457,2018-05-13,#f2a900
Bitcoin,$8246.99 BTC,145109512565,2018-05-20,#f2a900
Bitcoin,$8205.82 BTC,141185844808,2018-07-29,#f2a900
Bitcoin,$7999.33 BTC,141427138383,2018-04-15,#f2a900
Bitcoin,$7890.52 BTC,139201713268,2018-03-18,#f2a900
Bitcoin,$7766.03 BTC,134124196206,2017-11-19,#f2a900
Bitcoin,$7632.09 BTC,131808021256,2018-06-03,#f2a900
Bitcoin,$7499.55 BTC,115948312827,2018-06-10,#f2a900
Bitcoin,$7417.8 BTC,127336615249,2018-07-22,#f2a900
Bitcoin,$7404.52 BTC,123449206170,2017-11-05,#f2a900
Bitcoin,$7362.08 BTC,125695017596,2018-05-27,#f2a900
Bitcoin,$7189.58 BTC,125427780027,2018-09-02,#f2a900
Bitcoin,$7031.08 BTC,121526079384,2018-08-05,#f2a900
Bitcoin,$7003.06 BTC,116026809075,2018-04-01,#f2a900
Bitcoin,$6919.98 BTC,119162880482,2018-04-08,#f2a900
Bitcoin,$6857.8 BTC,116097021279,2018-07-08,#f2a900
Bitcoin,$6754.64 BTC,115585205491,2018-08-26,#f2a900
Bitcoin,$6715.32 BTC,115990387532,2018-09-23,#f2a900
Bitcoin,$6604.71 BTC,114608519470,2018-09-30,#f2a900
Bitcoin,$6590.68 BTC,114298880311,2018-10-07,#f2a900
Bitcoin,$6545.53 BTC,111134754810,2018-06-17,#f2a900
Bitcoin,$6536.68 BTC,112562367224,2018-09-16,#f2a900
Bitcoin,$6490.09 BTC,112369106369,2018-10-21,#f2a900
Bitcoin,$6482.66 BTC,112518434372,2018-10-28,#f2a900
Bitcoin,$6422.57 BTC,112031838393,2018-08-19,#f2a900
Bitcoin,$6413.63 BTC,111373453740,2018-11-11,#f2a900
Bitcoin,$6411.68 BTC,109366024632,2018-07-01,#f2a900
Bitcoin,$6365.47 BTC,110689215104,2018-11-04,#f2a900
Bitcoin,$6295.45 BTC,99226193603,2017-11-12,#f2a900
Bitcoin,$6288.49 BTC,108972590373,2018-10-14,#f2a900
Bitcoin,$6283.65 BTC,108790259014,2018-08-12,#f2a900
Bitcoin,$6272.7 BTC,109074579938,2018-07-15,#f2a900
Bitcoin,$6223.38 BTC,108747090915,2018-09-09,#f2a900
Bitcoin,$6164.28 BTC,105646571668,2018-06-24,#f2a900
Bitcoin,$6036.66 BTC,99981911326,2017-10-22,#f2a900
Bitcoin,$5835.96 BTC,94403031755,2017-10-15,#f2a900
Bitcoin,$5754.44 BTC,102482445590,2017-10-29,#f2a900
Bitcoin,$5559.74 BTC,97753714643,2018-11-18,#f2a900
Bitcoin,$4585.27 BTC,75812181334,2017-09-03,#f2a900
Bitcoin,$4429.67 BTC,76589293760,2017-10-08,#f2a900
Bitcoin,$4345.1 BTC,72441993792,2017-08-27,#f2a900
Bitcoin,$4341.05 BTC,73094870674,2017-10-01,#f2a900
Bitcoin,$4229.34 BTC,68263826801,2017-09-10,#f2a900
Bitcoin,$4189.31 BTC,67520478838,2017-08-20,#f2a900
Bitcoin,$3880.78 BTC,69749265801,2018-11-25,#f2a900
Bitcoin,$3880.04 BTC,67230528989,2017-08-13,#f2a900
Bitcoin,$3796.15 BTC,61081971156,2017-09-24,#f2a900
Bitcoin,$3606.28 BTC,59377995376,2017-09-17,#f2a900
Bitcoin Cash,$3260.55 BCH,48988190394,2017-12-24,#ee8c28
Bitcoin,$3257.61 BTC,53006426108,2017-08-06,#f2a900
Bitcoin,$2942.41 BTC,48471330146,2017-06-11,#f2a900
Bitcoin,$2808.1 BTC,44957775265,2017-07-23,#f2a900
Bitcoin Cash,$2784.68 BCH,47096251512,2018-01-07,#ee8c28
Bitcoin,$2724.39 BTC,45435913868,2017-07-30,#f2a900
Bitcoin Cash,$2687.1 BCH,43182003172,2018-01-14,#ee8c28
Bitcoin,$2655.35 BTC,41788418974,2017-06-18,#f2a900
Bitcoin,$2607.25 BTC,42495001716,2017-06-25,#f2a900
Bitcoin,$2572.61 BTC,41397076604,2017-07-09,#f2a900
Bitcoin,$2547.79 BTC,41124262595,2017-06-04,#f2a900
Bitcoin,$2436.4 BTC,41167015221,2017-07-02,#f2a900
Bitcoin Cash,$2376.96 BCH,42774211630,2017-12-31,#ee8c28
Bitcoin,$2067.03 BTC,33361091114,2017-05-21,#f2a900
Bitcoin,$2054.08 BTC,35264171110,2017-05-28,#f2a900
Bitcoin Cash,$2033.7 BCH,30068588224,2018-01-21,#ee8c28
Bitcoin,$1991.98 BTC,31748939343,2017-07-16,#f2a900
Bitcoin Cash,$1812.33 BCH,31410042966,2017-12-17,#ee8c28
Bitcoin,$1800.86 BTC,29540290794,2017-05-14,#f2a900
Bitcoin Cash,$1758.83 BCH,30217488953,2018-05-06,#ee8c28
Bitcoin Cash,$1636.41 BCH,29576563672,2018-01-28,#ee8c28
Bitcoin,$1579.47 BTC,26053077975,2017-05-07,#f2a900
Bitcoin Cash,$1571.39 BCH,29201004189,2017-11-26,#ee8c28
Bitcoin Cash,$1552.1 BCH,25249614907,2018-02-18,#ee8c28
Bitcoin Cash,$1474.76 BCH,25571546400,2018-05-13,#ee8c28
Bitcoin Cash,$1435.36 BCH,26263371463,2017-12-03,#ee8c28
Bitcoin Cash,$1411.84 BCH,22291645665,2017-12-10,#ee8c28
Ethereum,$1397.48 ETH,132554906162,2018-01-14,#3c3c3d
Bitcoin Cash,$1393.99 BCH,24630696326,2018-04-29,#ee8c28
Bitcoin Cash,$1346.97 BCH,23332952165,2017-11-12,#ee8c28
Bitcoin,$1321.87 BTC,21975104909,2017-04-30,#f2a900
Dash,$1286.73 DASH,9208778987,2017-12-24,#008de4
Bitcoin Cash,$1273.17 BCH,19752812252,2018-02-04,#ee8c28
Bitcoin Cash,$1267.86 BCH,21914279433,2018-03-04,#ee8c28
Dash,$1266.43 DASH,10032287190,2018-01-07,#008de4
Bitcoin Cash,$1260.95 BCH,19703757418,2017-11-19,#ee8c28
Bitcoin Cash,$1255.59 BCH,20654142398,2018-02-11,#ee8c28
Bitcoin,$1254.29 BTC,20526235270,2017-03-05,#f2a900
Bitcoin,$1231.92 BTC,19665994145,2017-04-23,#f2a900
Bitcoin Cash,$1191.35 BCH,20012870666,2018-02-25,#ee8c28
Bitcoin Cash,$1183.2 BCH,22139339235,2018-05-20,#ee8c28
Bitcoin,$1176.62 BTC,19801195767,2017-03-12,#f2a900
Bitcoin,$1176.57 BTC,19320511927,2017-04-09,#f2a900
Bitcoin,$1172.61 BTC,19255408766,2017-04-16,#f2a900
Ethereum,$1155.68 ETH,101943726022,2018-01-21,#3c3c3d
Bitcoin Cash,$1147.48 BCH,20527017940,2018-04-22,#ee8c28
Bitcoin,$1144.27 BTC,18860247630,2017-02-26,#f2a900
Bitcoin,$1128.92 BTC,11531708948,2013-12-01,#f2a900
Ethereum,$1111.78 ETH,121201618306,2018-01-28,#3c3c3d
Dash,$1098.06 DASH,7928394405,2018-01-14,#008de4
Bitcoin Cash,$1087.46 BCH,16138135358,2018-06-10,#ee8c28
Bitcoin Cash,$1083.13 BCH,20088760230,2018-06-03,#ee8c28
Bitcoin,$1080.61 BTC,17911915755,2017-04-02,#f2a900
Bitcoin,$1054.76 BTC,16946913346,2017-02-19,#f2a900
Bitcoin,$1043.52 BTC,16588240157,2017-02-05,#f2a900
Ethereum,$1043.01 ETH,111670667774,2018-01-07,#3c3c3d
Dash,$1014.51 DASH,8581256484,2017-12-17,#008de4
Bitcoin Cash,$1009.2 BCH,17098555063,2018-05-27,#ee8c28
Bitcoin,$1003.52 BTC,16146290349,2017-02-12,#f2a900
Dash,$1002.99 DASH,8189400103,2017-12-31,#008de4
Bitcoin Cash,$1002.55 BCH,19482419344,2018-03-11,#ee8c28
Bitcoin,$976.73 BTC,16821676707,2017-03-19,#f2a900
Bitcoin,$974.02 BTC,15698465531,2017-03-26,#f2a900
Bitcoin Cash,$973.6 BCH,16473439913,2018-03-25,#ee8c28
Ethereum,$973.35 ETH,90267805476,2018-02-18,#3c3c3d
Ethereum,$964.67 ETH,81310521832,2018-02-04,#3c3c3d
Bitcoin,$963.66 BTC,16050407461,2017-01-01,#f2a900
Bitcoin Cash,$948.28 BCH,15971701036,2018-03-18,#ee8c28
Dash,$928.13 DASH,6408819317,2018-01-21,#008de4
Bitcoin,$922.21 BTC,14905439337,2017-01-22,#f2a900
Bitcoin,$922.07 BTC,14834377926,2017-01-29,#f2a900
Bitcoin,$919.6 BTC,10578653198,2014-01-12,#f2a900
Bitcoin,$908.17 BTC,14661966429,2017-01-08,#f2a900
Bitcoin,$899.65 BTC,14396194094,2016-12-25,#f2a900
Bitcoin,$875.29 BTC,10625517651,2013-12-15,#f2a900
Ethereum,$859.29 ETH,79476512347,2018-02-11,#3c3c3d
Bitcoin,$858.55 BTC,11379660685,2014-01-05,#f2a900
Ethereum,$856.19 ETH,84923240778,2018-03-04,#3c3c3d
Bitcoin,$853.68 BTC,10902798632,2014-01-26,#f2a900
Bitcoin Cash,$853.06 BCH,14646877140,2018-06-17,#ee8c28
Bitcoin,$839.66 BTC,10699504086,2014-01-19,#f2a900
Ethereum,$839.46 ETH,82659602549,2018-02-25,#3c3c3d
Bitcoin,$832.9 BTC,10190038654,2014-02-02,#f2a900
Bitcoin Cash,$821.01 BCH,14311866497,2018-07-29,#ee8c28
Bitcoin,$818.14 BTC,13234840657,2017-01-15,#f2a900
Ethereum,$816.09 ETH,78656662788,2018-05-06,#3c3c3d
Bitcoin,$795.63 BTC,9317034156,2013-11-24,#f2a900
Bitcoin,$791.01 BTC,12688510068,2016-12-18,#f2a900
Bitcoin Cash,$788.47 BCH,13605908099,2018-07-22,#ee8c28
Dash,$778.78 DASH,5944764996,2017-12-03,#008de4
Dash,$777.05 DASH,6372788770,2018-01-28,#008de4
Bitcoin Cash,$775.78 BCH,12943531512,2018-07-08,#ee8c28
Bitcoin,$774.75 BTC,12344888048,2016-12-11,#f2a900
Bitcoin Cash,$772.42 BCH,11764311435,2017-08-20,#ee8c28
Bitcoin,$771.64 BTC,12400766376,2016-12-04,#f2a900
Bitcoin Cash,$764.62 BCH,12890445591,2018-06-24,#ee8c28
Bitcoin,$756.69 BTC,11974386667,2016-06-19,#f2a900
Bitcoin,$751.88 BTC,11695081878,2016-11-20,#f2a900
Bitcoin Cash,$749.18 BCH,12728748477,2018-07-01,#ee8c28
Dash,$744.09 DASH,5440153882,2018-02-18,#008de4
Bitcoin Cash,$741.91 BCH,13332965082,2018-04-15,#ee8c28
Bitcoin,$735.44 BTC,11720648987,2016-11-27,#f2a900
Bitcoin,$728.05 BTC,9082103621,2013-12-29,#f2a900
Dash,$723.23 DASH,5334099355,2017-12-10,#008de4
Ethereum,$721.77 ETH,67019237420,2017-12-24,#3c3c3d
Bitcoin,$714.12 BTC,11194834676,2016-10-30,#f2a900
Ethereum,$712.21 ETH,73170170967,2017-12-31,#3c3c3d
Bitcoin,$705.2 BTC,11215181107,2016-11-13,#f2a900
Bitcoin,$704.97 BTC,10360455388,2016-07-03,#f2a900
Bitcoin,$703.81 BTC,11357385316,2016-11-06,#f2a900
Bitcoin Cash,$702.99 BCH,12463683162,2018-07-15,#ee8c28
Ethereum,$697.92 ETH,71224213260,2018-05-20,#3c3c3d
Bitcoin,$697.31 BTC,9627500113,2013-12-08,#f2a900
Ethereum,$696.24 ETH,69409025338,2017-12-17,#3c3c3d
Bitcoin Cash,$696.07 BCH,12253194394,2018-08-05,#ee8c28
Bitcoin Cash,$688.01 BCH,10963859523,2018-04-01,#ee8c28
Ethereum,$687.17 ETH,72923278119,2018-05-13,#3c3c3d
Ethereum,$685.31 ETH,70981343639,2018-03-11,#3c3c3d
Ethereum,$683.91 ETH,68289153706,2018-04-29,#3c3c3d
Bitcoin,$671.46 BTC,8451228950,2014-02-09,#f2a900
Bitcoin,$665.93 BTC,9883123077,2016-06-26,#f2a900
Bitcoin,$661.99 BTC,10711263460,2016-07-17,#f2a900
Bitcoin,$657.62 BTC,10472100602,2016-10-23,#f2a900
Bitcoin,$655.41 BTC,10432244355,2016-07-24,#f2a900
Bitcoin,$655.1 BTC,9861866433,2016-07-31,#f2a900
Bitcoin,$654.99 BTC,8445489607,2014-06-08,#f2a900
Bitcoin,$651.3 BTC,7650358837,2014-02-16,#f2a900
Bitcoin,$650.6 BTC,10229001841,2016-07-10,#f2a900
Dash,$641.46 DASH,4794259115,2017-11-26,#008de4
Bitcoin Cash,$640.89 BCH,11180534840,2018-04-08,#ee8c28
Bitcoin,$639.08 BTC,10218348388,2016-10-16,#f2a900
Dash,$637.01 DASH,4325433347,2018-02-04,#008de4
