name,type,value,date,color
Wizards,CHP,1302.3424,1961-10-28,#002B5C
Wizards,CHP,1269.3416,1961-11-14,#002B5C
Wizards,CHP,1266.1764,1961-11-28,#002B5C
Wizards,CHP,1247.0966,1961-12-14,#002B5C
Wizards,CHP,1266.2404,1961-12-28,#002B5C
Wizards,CHP,1260.2228,1962-01-14,#002B5C
Wizards,CHP,1224.3081,1962-01-28,#002B5C
Wizards,CHP,1269.7773,1962-02-14,#002B5C
Wizards,CHP,1248.5154,1962-02-28,#002B5C
Wizards,CHP,1253.2574,1962-03-14,#002B5C
Wizards,CHZ,1314.4192,1962-03-28,#002B5C
Wizards,CHZ,1314.4192,1962-04-14,#002B5C
Wizards,CHZ,1324.9565,1962-10-28,#002B5C
Wizards,CHZ,1336.34,1962-11-14,#002B5C
Wizards,CHZ,1314.0189,1962-11-28,#002B5C
Wizards,CHZ,1327.9592,1962-12-14,#002B5C
Wizards,CHZ,1318.2379,1962-12-28,#002B5C
Wizards,CHZ,1328.2965,1963-01-14,#002B5C
Wizards,CHZ,1335.6726,1963-02-14,#002B5C
Wizards,CHZ,1340.3816,1963-02-28,#002B5C
Wizards,CHZ,1369.9969,1963-03-14,#002B5C
Wizards,BAL,1389.6656,1963-03-28,#002B5C
Wizards,BAL,1389.6656,1963-04-14,#002B5C
Wizards,BAL,1371.5133,1963-11-14,#002B5C
Wizards,BAL,1367.201,1963-11-28,#002B5C
Wizards,BAL,1391.7677,1963-12-14,#002B5C
Wizards,BAL,1396.9371,1963-12-28,#002B5C
Wizards,BAL,1457.0599,1964-01-28,#002B5C
Wizards,BAL,1454.8562,1964-02-14,#002B5C
Wizards,BAL,1437.4192,1964-02-28,#002B5C
Wizards,BAL,1386.7052,1964-03-14,#002B5C
Wizards,BAL,1449.1732,1964-03-28,#002B5C
Wizards,BAL,1428.1418,1964-10-28,#002B5C
Wizards,BAL,1452.6259,1964-11-14,#002B5C
Wizards,BAL,1455.3971,1964-11-28,#002B5C
Wizards,BAL,1413.6318,1964-12-14,#002B5C
Wizards,BAL,1426.8539,1964-12-28,#002B5C
Wizards,BAL,1453.9093,1965-01-14,#002B5C
Wizards,BAL,1435.2063,1965-01-28,#002B5C
Wizards,BAL,1408.491,1965-02-14,#002B5C
Wizards,BAL,1413.8715,1965-02-28,#002B5C
Wizards,BAL,1457.2819,1965-03-14,#002B5C
Wizards,BAL,1487.2179,1965-03-28,#002B5C
Wizards,BAL,1443.913,1965-10-28,#002B5C
Wizards,BAL,1446.3955,1965-11-14,#002B5C
