"date";"value";"type";"name";"color"
"2008-03-05";"40180206";"1988basti";"Timbaland - Apologize (feat. One Republic)";"#f20014"
"2008-06-11";"57517949";"1988basti";"Timbaland - Apologize (feat. One Republic)";"#f20014"
"2008-09-25";"67058591";"1988basti";"Timbaland - Apologize (feat. One Republic)";"#f20014"
"2008-11-30";"70092040";"1988basti";"Timbaland - Apologize (feat. One Republic)";"#f20014"
"2009-07-08";"76079853";"1988basti";"Timbaland - Apologize (feat. One Republic)";"#f20014"
"2009-12-19";"78714630";"1988basti";"Timbaland - Apologize (feat. One Republic)";"#f20014"
"2011-05-30";"173052464";"294tv";"An experiment";"#7800f1"
"2011-12-31";"217653682";"294tv";"An experiment";"#7800f1"
"2008-06-11";"73179866";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2008-09-25";"85179866";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2008-11-30";"99124854";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2009-05-29";"107662515";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2009-07-08";"108691683";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2009-10-10";"109536358";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2009-12-19";"111348547";"AbolishTheSenateOrg";"XXX PORN XXX";"#0c00f0"
"2012-11-17";"351589545";"Adele";"Adele - Rolling In The Deep";"#0097ef"
"2013-02-01";"372861595";"Adele";"Adele - Rolling In The Deep";"#0097ef"
"2014-09-01";"536753879";"Adele";"Adele - Rolling In The Deep";"#0097ef"
"2015-02-08";"604064271";"Adele";"Adele - Rolling In The Deep";"#0097ef"
"2016-04-30";"1469715147";"Adele";"Adele - Hello";"#0097ef"
"2016-11-02";"1760507094";"Adele";"Adele - Hello";"#0097ef"
"2017-03-05";"1898342517";"Adele";"Adele - Hello";"#0097ef"
"2017-07-14";"2005841459";"Adele";"Adele - Hello";"#0097ef"
"2017-09-21";"2062416410";"Adele";"Adele - Hello";"#0097ef"
"2017-12-12";"2153300834";"Adele";"Adele - Hello";"#0097ef"
"2019-01-09";"2457207884";"Adele";"Adele - Hello";"#0097ef"
"2005-12-20";"298724";"akicyra";"korean madness";"#00a581"
"2008-03-05";"39246063";"aliciakeys";"Alicia Keys - No One";"#a52c79"
"2008-06-11";"54940828";"aliciakeys";"Alicia Keys - No One";"#a52c79"
"2008-11-30";"70442210";"aliciakeys";"Alicia Keys - No One";"#a52c79"
