Company Name,Last Financing Size (in mm),Revenue (in mm),Year Founded,Industry Focus,Description
Cyleone,2.30,5.00,30-Jul-2014,Healthcare,"Developer of a multi sensor platform designed to collect and process industrial data. The company's platform utilizes a smartphone application to integrate sensors, connectivity and smart data to collect heterogeneous industrial data, enabling users to address environment and climate related challenges in a cost effective way."
Ubidots,16.50,1.00,31-Jul-2014,Industrial Manufaturing,"Developer of an internet of things based cloud platform designed to provide system integrator and original equipment manufacturing system through self-construct business applications. The company's platform collects, analyzes and visualizes a system's sensor or digital data through its online application, enabling users to create custom dashboards, browse device libraries and track data from IoT products."
Osprey Informatics,16.50,0.50,07-Aug-2014,Industrial Manufaturing,"Developer of a cloud-based platform designed to offer intelligent visual monitoring services. The company's platform detects important operational events, analyzes related images and video with advanced computer vision along with data from other sensors and systems, enabling organizations to remotely inspect facilities and equipment, monitor site activity, optimize labor productivity and ultimately increase manage more assets with fewer people."
LineMetrics,2.30,0.75,07-Aug-2014,Robotics,"Provider of lean industrial environment metrics platform. The company's lean industrial environment metrics platform offers an online cloud-based platform and analytics tools used for monitoring energy efficiency, production optimization, maintenance and remote services, providing enterprises with facts for optimization measures or warnings of possible problems."
ShiftMobility,2.00,24.00,07-Aug-2014,Technology,"Provider of a automotive service network intended to connect car drivers, manufacturers, parts distributors and repair shops together through a mobile device. The company's automotive service network is a All-In-One platform uses multi-constituent architecture, large scale distributed computing networks, data forms and visualization, enabling auto industry to deliver unparalleled efficiency and ease-of-use services."
RoboCV,0.59,2.00,13-Aug-2014,Healthcare,"Developer of automated navigation systems designed to offer autopilot implementation in transport robots. The company's systems use robotics that can replace people in the routine and unproductive tasks of intra-warehouse logistics, as well as develop autonomous navigation services for autopilot systems in land or water transport robots or planetary autonomous robots, enabling clients to promote faster growth and use automatic devices for efficient operation."
Eneida,5.40,24.00,15-Aug-2014,Industrial Manufaturing,"Developer of industrial smart sensors and wireless networks. The company's services develop and delivers specially designed, low cost, low power, and robust wireless smart sensor networks, integrated with specific machine learning algorithms and a collaborative software platform enabling enable electric utilities to optimize and increase their productivity, efficiency, condition and operation of their critical assets both remotely and online. Its unique electric grid optimization platform integrates especially designed smart sensor networks, inference algorithms, and a collaborative software, in order to obtain real time actionable information with a lower total cost of ownership and an explicit learning mechanism for continuously improved recommendations."
Koge Vitamins,1.50,0.75,21-Aug-2015,Technology,"Provider of consumer-direct vitamins. The company manufactures, markets and distributes vitamins directly to consumers, with doorstep delivery service. The company also donates a percentage of every vitamin sale to a children's nutrition initiative in Africa."
Sphelar Power,2.30,0.50,23-Aug-2015,Robotics,"Developer of spherical solar cells and its application products created to pursue opportunities for transformation and growth in the global solar cell market. The company specializes in the development and distribution of spherical solar cells, three-dimensional solar lighting and solar lighting and stick, uses design features of globally unique spherical, translucent PVC to promote global adoption of technology developed in Japan."
Mombox,16.50,2.00,29-Aug-2015,Industrial Manufaturing,Provider of an online platform distributing baby-related products. The company's platform enables expectant parents to subscribe and receive deliveries of baby-product samples. The company also provides product manufacturers with related marketing research.
Pride Watches,0.59,4.00,04-Sep-2015,Healthcare,"Manufacturer of silicone sports watches. The company engages in the manufacturing and distribution of sports watches and other accessories, like world cup watches, phone snapper, custom watches, stickers and other products."
SamSara (Agriculture),5.40,15.00,06-Sep-2015,Industrial Manufaturing,Manufacturer of organic green fertilizer. The company manufactures and distributes eco-friendly organic fertilizer which is produced using earthworm castings.
