"","country","sub_region","cancer_site","sex","measure_type","age","p","life_exp_loss_years"
"1","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",40,0.86240715,34.079018
"2","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",41,0.86423065,33.328842
"3","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",42,0.86570557,32.557827
"4","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",43,0.86684013,31.773735
"5","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",44,0.86764755,30.977163
"6","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",45,0.86813599,30.18257
"7","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",46,0.8683049,29.379408
"8","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",47,0.86815926,28.573902
"9","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",48,0.867696,27.7537
"10","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",49,0.8669175,26.921415
"11","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",50,0.86583847,26.106693
"12","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",51,0.8644371,25.285963
"13","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",52,0.86270317,24.456419
"14","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",53,0.86065651,23.632574
"15","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",54,0.85827721,22.820843
"16","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",55,0.85554466,22.003681
"17","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",56,0.8524678,21.19338
"18","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",57,0.84903481,20.402395
"19","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",58,0.84521439,19.605633
"20","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",59,0.841008,18.817945
"21","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",60,0.8364077,18.037563
"22","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",61,0.831399,17.267712
"23","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",62,0.82596512,16.503407
"24","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",63,0.82011345,15.751811
"25","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",64,0.81387154,15.003806
"26","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",65,0.80749321,14.268619
"27","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",66,0.80129379,13.546867
"28","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",67,0.79560402,12.861289
"29","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",68,0.79071594,12.194568
"30","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",69,0.78694382,11.565401
"31","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",70,0.78453156,10.960958
"32","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",71,0.78372993,10.408978
"33","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",72,0.78456451,9.8727512
"34","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",73,0.78694405,9.3644924
"35","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",74,0.79055367,8.8872566
"36","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",75,0.7950914,8.4137211
"37","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",76,0.80029549,7.9449058
"38","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",77,0.80593536,7.4886074
"39","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",78,0.81172615,7.0488715
"40","Denmark","All","Oesophagus (C15)","Males","Proportion of life lost",79,0.8175148,6.6223044
